Name,SMILES,Cation_SMILES,Anion_SMILES,Reduction Potential (V),Oxidation Potential (V),ECW (V)
"2-(hexadecyloxy)-N,N,N-trimethyl-2-oxoethan-1-aminium methanesulfonate",CCCCCCCCCCCCCCCCOC(=O)C[N+](C)(C)C.CS(=O)(=O)[O-],CCCCCCCCCCCCCCCCOC(=O)C[N+](C)(C)C,CS(=O)(=O)[O-],-1.906143200004081,0.3353761600004503,2.2415193600045313
"2-(hexadecyloxy)-N,N,N-trimethyl-2-oxoethan-1-aminium tetrafluoroborate",CCCCCCCCCCCCCCCCOC(=O)C[N+](C)(C)C.F[B-](F)(F)F,CCCCCCCCCCCCCCCCOC(=O)C[N+](C)(C)C,F[B-](F)(F)F,-1.906143200004081,3.808310239999682,5.714453440003763
"2-(hexadecyloxy)-N,N,N-trimethyl-2-oxoethan-1-aminium dicyanamide",CCCCCCCCCCCCCCCCOC(=O)C[N+](C)(C)C.N#C[N-]C#N,CCCCCCCCCCCCCCCCOC(=O)C[N+](C)(C)C,N#C[N-]C#N,-1.906143200004081,-0.117386880000268,1.788756320003813
"2-(hexadecyloxy)-N,N,N-trimethyl-2-oxoethan-1-aminium perchlorate",CCCCCCCCCCCCCCCCOC(=O)C[N+](C)(C)C.[O-][Cl+3]([O-])([O-])[O-],CCCCCCCCCCCCCCCCOC(=O)C[N+](C)(C)C,[O-][Cl+3]([O-])([O-])[O-],-1.906143200004081,1.516808159998581,3.4229513600026618
1-hexadecyl-1-methylpiperidinium chloride,CCCCCCCCCCCCCCCC[N+]1(C)CCCCC1.[Cl-],CCCCCCCCCCCCCCCC[N+]1(C)CCCCC1,[Cl-],0.07848848000026898,-0.7622934400004309,-0.8407819200006998
1-hexadecyl-1-methylpiperidinium hydroxide,CCCCCCCCCCCCCCCC[N+]1(C)CCCCC1.[OH-],CCCCCCCCCCCCCCCC[N+]1(C)CCCCC1,[OH-],0.07848848000026898,-2.87832560000019,-2.956814080000459
1-hexadecyl-3-methyl-2-(thiazol-4-yl)benzimidazolium tetrafluoroborate,CCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.F[B-](F)(F)F,CCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21,F[B-](F)(F)F,-0.4953934400017173,3.808310239999682,4.3037036800014
1-hexadecyl-3-methyl-2-(thiazol-4-yl)benzimidazolium trifluoromethanesulfonate,CCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=S(=O)([O-])C(F)(F)F,CCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21,O=S(=O)([O-])C(F)(F)F,-0.4953934400017173,2.288967200001534,2.7843606400032512
1-hexadecyl-3-methyl-2-(thiazol-4-yl)benzimidazolium nitrate,CCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21.O=[N+]([O-])[O-],CCCCCCCCCCCCCCCC[n+]1c(-c2cscn2)n(C)c2ccccc21,O=[N+]([O-])[O-],-0.4953934400017173,0.1507779199998911,0.6461713600016084
1-hexadecyl-4-methylpyridinium hexafluorophosphate,CCCCCCCCCCCCCCCC[n+]1ccc(C)cc1.F[P-](F)(F)(F)(F)F,CCCCCCCCCCCCCCCC[n+]1ccc(C)cc1,F[P-](F)(F)(F)(F)F,-0.04680560000128065,4.568990879999146,4.6157964800004265
1-hexadecyl-3-methylpyridinium hexafluorophosphate,CCCCCCCCCCCCCCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,CCCCCCCCCCCCCCCC[n+]1cccc(C)c1,F[P-](F)(F)(F)(F)F,0.07565695999906819,4.568990879999146,4.493333920000078
1-hexadecyl-3-methylpyridinium chloride,CCCCCCCCCCCCCCCC[n+]1cccc(C)c1.[Cl-],CCCCCCCCCCCCCCCC[n+]1cccc(C)c1,[Cl-],0.07565695999906819,-0.7622934400004309,-0.837950399999499
n-hexadecyl pyridinium hexafluorophosphate,CCCCCCCCCCCCCCCC[n+]1ccccc1.F[P-](F)(F)(F)(F)F,CCCCCCCCCCCCCCCC[n+]1ccccc1,F[P-](F)(F)(F)(F)F,0.1774910399995493,4.568990879999146,4.391499839999597
1-hexadecylpyridinium N-cyclohexylsulfamate,CCCCCCCCCCCCCCCC[n+]1ccccc1.O=S(=O)([O-])NC1CCCCC1,CCCCCCCCCCCCCCCC[n+]1ccccc1,O=S(=O)([O-])NC1CCCCC1,0.1774910399995493,0.2941273600010019,0.11663632000145263
cetylpyridinium chloride,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Cl-],CCCCCCCCCCCCCCCC[n+]1ccccc1,[Cl-],0.1774910399995493,-0.7622934400004309,-0.9397844799999802
1-hexadecylpyridinium hydroxide,CCCCCCCCCCCCCCCC[n+]1ccccc1.[OH-],CCCCCCCCCCCCCCCC[n+]1ccccc1,[OH-],0.1774910399995493,-2.87832560000019,-3.0558166399997395
3-hexadecyl-1-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,CCCCCCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCCCCCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-1.388295999998846,2.363283040000678,3.751579039999524
3-hexadecylthiazolium bis((trifluoromethyl)sulfonyl)amide,CCCCCCCCCCCCCCCC[n+]1ccsc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCCCCCCCCC[n+]1ccsc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-0.06481199999601905,2.363283040000678,2.428095039996697
1-hexadecyl-3-methylimidazolium tetrafluoroborate,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,CCCCCCCCCCCCCCCCn1cc[n+](C)c1,F[B-](F)(F)F,-1.388298720001004,3.808310239999682,5.196608960000686
1-hexadecyl-3-methylimidazolium hexafluorophosphate,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,CCCCCCCCCCCCCCCCn1cc[n+](C)c1,F[P-](F)(F)(F)(F)F,-1.388298720001004,4.568990879999146,5.95728960000015
